id,id_club,height,weight,number
PEPL01,EPL01,175,70,7
PEPL02,EPL01,180,75,14
PEPL03,EPL01,172,68,5
PEPL04,EPL02,178,72,10
PEPL05,EPL02,185,78,11
PEPL06,EPL02,170,65,1
PEPL07,EPL03,175,70,17
PEPL08,EPL03,182,76,6
PEPL09,EPL03,178,72,19
PEPL10,EPL04,183,77,9
PEPL11,EPL04,175,70,5
PEPL12,EPL04,188,82,8
PEPL13,EPL05,180,75,9
PEPL14,EPL05,175,70,6
PEPL15,EPL05,185,78,11
PEPL16,EPL06,183,77,9
PEPL17,EPL06,170,65,7
PEPL18,EPL06,178,72,19
PEPL19,EPL07,185,78,11
PEPL20,EPL07,178,72,23
PEPL21,EPL07,172,68,34
PEPL22,EPL08,170,65,7
PEPL23,EPL08,183,77,9
PEPL24,EPL08,188,82,1
PEPL25,EPL09,183,77,9
PEPL26,EPL09,178,72,23
PEPL27,EPL09,175,70,18
PEPL28,EPL10,178,72,10
PEPL29,EPL10,188,82,8
PEPL30,EPL10,180,75,20
PEPL31,EPL11,185,78,11
PEPL32,EPL11,175,70,4
PEPL33,EPL11,178,72,10
PEPL34,EPL12,175,70,18
PEPL35,EPL12,182,76,3
PEPL36,EPL12,170,65,47
PEPL37,EPL13,175,70,18
PEPL38,EPL13,170,65,7
PEPL39,EPL13,183,77,39
PEPL40,EPL14,180,75,13
PEPL41,EPL14,178,72,24
PEPL42,EPL14,188,82,8
PEPL43,EPL15,175,70,22
PEPL44,EPL15,182,76,14
PEPL45,EPL15,185,78,2
PEPL46,EPL16,183,77,16
PEPL47,EPL16,170,65,17
PEPL48,EPL16,178,72,48
PEPL49,EPL17,178,72,10
PEPL50,EPL17,170,65,7
PEPL51,EPL17,188,82,1
PEPL52,EPL18,178,72,23
PEPL53,EPL18,178,72,10
PEPL54,EPL18,188,82,8
PEPL55,EPL19,182,76,41
PEPL56,EPL19,175,70,30
PEPL57,EPL19,185,78,11
PEPL58,EPL20,183,77,9
PEPL59,EPL20,170,65,37
PEPL60,EPL20,180,75,28
PLLG01,LLG01,175,70,7
PLLG02,LLG01,180,75,14
PLLG03,LLG01,172,68,5
PLLG04,LLG02,178,72,10
PLLG05,LLG02,185,78,11
PLLG06,LLG02,170,65,1
PLLG07,LLG03,175,70,17
PLLG08,LLG03,182,76,6
PLLG09,LLG03,178,72,19
PLLG10,LLG04,183,77,9
PLLG11,LLG04,175,70,5
PLLG12,LLG04,188,82,8
PLLG13,LLG05,180,75,9
PLLG14,LLG05,175,70,6
PLLG15,LLG05,185,78,11
PLLG16,LLG06,183,77,9
PLLG17,LLG06,170,65,7
PLLG18,LLG06,178,72,19
PLLG19,LLG07,185,78,11
PLLG20,LLG07,178,72,23
PLLG21,LLG07,172,68,34
PLLG22,LLG08,170,65,7
PLLG23,LLG08,183,77,9
PLLG24,LLG08,188,82,1
PLLG25,LLG09,183,77,9
PLLG26,LLG09,178,72,23
PLLG27,LLG09,175,70,18
PLLG28,LLG10,178,72,10
PLLG29,LLG10,188,82,8
PLLG30,LLG10,180,75,20
PLLG31,LLG11,185,78,11
PLLG32,LLG11,175,70,4
PLLG33,LLG11,178,72,10
PLLG34,LLG12,175,70,18
PLLG35,LLG12,182,76,3
PLLG36,LLG12,170,65,47
PLLG37,LLG13,175,70,18
PLLG38,LLG13,170,65,7
PLLG39,LLG13,183,77,39
PLLG40,LLG14,180,75,13
PLLG41,LLG14,178,72,24
PLLG42,LLG14,188,82,8
PLLG43,LLG15,175,70,22
PLLG44,LLG15,182,76,14
PLLG45,LLG15,185,78,2
PLLG46,LLG16,183,77,16
PLLG47,LLG16,170,65,17
PLLG48,LLG16,178,72,48
PLLG49,LLG17,178,72,10
PLLG50,LLG17,170,65,7
PLLG51,LLG17,188,82,1
PLLG52,LLG18,178,72,23
PLLG53,LLG18,178,72,10
PLLG54,LLG18,188,82,8
PLLG55,LLG19,182,76,41
PLLG56,LLG19,175,70,30
PLLG57,LLG19,185,78,11
PLLG58,LLG20,183,77,9
PLLG59,LLG20,170,65,37
PLLG60,LLG20,180,75,28
